品牌,关键词
海氏海诺,"[[('不错', 79), ('包装', 71), ('质量', 49), ('物流', 47), ('很快', 43)]]"
袋鼠医生（DR.ROOS）,"[[('不错', 72), ('质量', 50), ('喜欢', 40), ('值得', 39), ('速度', 38)]]"
Medicom,"[[('不错', 35), ('质量', 18), ('好评', 16), ('颜色', 13), ('包装', 11)]]"
伊藤の良品,"[[('包装', 33), ('不错', 29), ('舒服', 26), ('独立', 25), ('值得', 23)]]"
振德（ZHENDE）,"[[('包装', 60), ('不错', 54), ('好好', 45), ('赞赞', 40), ('质量', 33)]]"
江赫（QJMDM）,"[[('包装', 14), ('质量', 12), ('独立', 7), ('特别', 7), ('实惠', 7)]]"
诺威娜,[]
SR,"[[('舒服', 2), ('异味', 2), ('牌子', 2), ('好用', 2), ('冬天', 2)]]"
诺伯豪斯,"[[('包装', 45), ('独立', 27), ('不错', 15), ('干净', 15), ('卫生', 15)]]"
3M,"[[('不错', 70), ('质量', 49), ('包装', 48), ('很快', 37), ('物流', 32)]]"
舒昂（SUERIANR）,"[[('包装', 22), ('独立', 16), ('东西', 15), ('不错', 9), ('好评默认', 8)]]"
欧洁（oyeah）,"[[('包装', 28), ('独立', 18), ('质量', 16), ('不错', 16), ('卫生', 12)]]"
稳健医疗,"[[('哈哈哈', 2), ('产品', 1), ('买过产品三层', 1), ('价钱', 1), ('正品', 1)]]"
诺轩（nuoxuan）,"[[('不错', 75), ('好好', 66), ('质量', 52), ('包装', 43), ('满意', 29)]]"
弓立,"[[('不错', 34), ('外科', 16), ('医用', 15), ('价格', 15), ('质量', 14)]]"
力康（Heal Force）,"[[('不错', 29), ('回购', 19), ('老客户', 19), ('评价', 14), ('孩子', 13)]]"
麦迪康,"[[('质量', 8), ('不错', 7), ('很快', 6), ('物流', 4), ('效果', 4)]]"
南丁,"[[('不错', 174), ('孩子', 98), ('好好', 62), ('包装', 61), ('喜欢', 57)]]"
思沃,"[[('不错', 29), ('质量', 23), ('医院', 22), ('很快', 16), ('快递', 15)]]"
爱马斯（AMMEX）,"[[('质量', 38), ('不错', 33), ('实惠', 22), ('手套', 21), ('物流', 20)]]"
稳健（Winner）,"[[('喜欢', 301), ('不错', 209), ('包装', 202), ('小朋友', 189), ('质量', 159)]]"
魅佳（MEIJIA）,[]
鱼跃（YUYUE）,"[[('不错', 121), ('好好', 60), ('收到', 58), ('物流', 43), ('质量', 43)]]"
可孚,"[[('不错', 47), ('数学', 8), ('考完', 7), ('捂脸', 7), ('好评默认', 7)]]"
朝美（CM）,[]
亲净（GOFRESH）,"[[('包装', 11), ('独立', 10), ('不错', 10), ('评价', 10), ('质量', 7)]]"
棉花朵朵,"[[('不错', 15), ('质量', 13), ('速度', 10), ('包装', 8), ('东西', 7)]]"
進化银（KOKOROCARE）,"[[('不错', 13), ('舒服', 12), ('购买', 8), ('轻薄', 8), ('物流', 7)]]"
成楷科技（CK-Tech）,"[[('不错', 136), ('包装', 129), ('质量', 90), ('独立', 62), ('收到', 56)]]"
泰恩康（T&K）,"[[('不错', 232), ('质量', 189), ('包装', 158), ('物流', 110), ('收到', 99)]]"
雅思（YAsee）,[]
BDAC,"[[('评价', 6), ('物流', 3), ('内容用户', 2), ('收到', 2), ('很快', 2)]]"
宝塔（baota）,"[[('包装', 22), ('质量', 15), ('透气', 12), ('医用', 12), ('不错', 10)]]"
博锐,"[[('不错', 11), ('质量', 11), ('实惠', 8), ('收到', 7), ('物流', 6)]]"
仁和,"[[('包装', 8), ('卫生', 6), ('独立', 5), ('超级', 3), ('下单', 3)]]"
绿盾,"[[('好评默认', 8), ('包装', 7), ('收到', 4), ('物流', 3), ('独立', 3)]]"
